criterion,max_depth,min_samples_split,min_samples_leaf,recall,precision,f1
entropy,5,3,2,0.2835,0.39375,0.32965116279069767
entropy,5,3,3,0.254,0.33642384105960266,0.28945868945868947
entropy,5,3,4,0.2485,0.33740665308893414,0.28620788943276704
entropy,5,3,5,0.246,0.29800121138703817,0.2695152013147083
entropy,5,4,1,0.2975,0.35843373493975905,0.3251366120218579
entropy,5,4,2,0.2825,0.39290681502086233,0.3286794648051193
entropy,5,4,3,0.257,0.3419827012641384,0.2934627462175278
entropy,5,4,4,0.2415,0.3292433537832311,0.27862705509085667
entropy,5,4,5,0.2405,0.29329268292682925,0.2642857142857143
entropy,5,5,1,0.293,0.34430082256169214,0.3165856293895192
entropy,5,5,2,0.276,0.3670212765957447,0.3150684931506849
entropy,5,5,3,0.2575,0.34015852047556144,0.29311326124075127
entropy,5,5,4,0.242,0.32902787219578516,0.27888216652261594
entropy,5,5,5,0.242,0.2936893203883495,0.26535087719298245
entropy,10,1,1,0.381,0.3542538354253835,0.36714044808479884
entropy,10,1,2,0.2955,0.3731060606060606,0.32979910714285715
entropy,10,1,3,0.2695,0.3284582571602681,0.29607250755287007
entropy,10,1,4,0.253,0.33465608465608465,0.28815489749430523
entropy,10,1,5,0.2435,0.29179149191132414,0.2654674298173889
entropy,10,2,1,0.388,0.3597589244320816,0.37334616309838825
entropy,10,2,2,0.295,0.3671437461107654,0.3271416689769892
entropy,10,2,3,0.2695,0.32198327359617684,0.2934131736526946
entropy,10,2,4,0.2515,0.33444148936170215,0.2871004566210046
entropy,10,2,5,0.2425,0.2918170878459687,0.2648825778263244
entropy,10,3,1,0.376,0.3797979797979798,0.3778894472361809
entropy,10,3,2,0.2945,0.37349397590361444,0.32932625104836455
entropy,10,3,3,0.2665,0.3228346456692913,0.29197480142426735
entropy,10,3,4,0.2535,0.33267716535433073,0.28774120317820656
entropy,10,3,5,0.245,0.2966101694915254,0.2683461117196057
entropy,10,4,1,0.3555,0.3553223388305847,0.3554111472131967
entropy,10,4,2,0.294,0.3693467336683417,0.3273942093541203
entropy,10,4,3,0.2695,0.3223684210526316,0.2935729847494553
entropy,10,4,4,0.2585,0.33835078534031415,0.29308390022675734
entropy,10,4,5,0.245,0.2939412117576485,0.26724843196073084
entropy,10,5,1,0.3455,0.3481108312342569,0.34680050188205774
entropy,10,5,2,0.287,0.35987460815047023,0.31933240611961056
entropy,10,5,3,0.2695,0.3280584297017651,0.2959099643151249
entropy,10,5,4,0.2545,0.33508887425938116,0.2892867291844274
entropy,10,5,5,0.246,0.29836264402668283,0.2696629213483146
entropy,20,1,1,0.386,0.3559243891194099,0.3703526025425762
entropy,20,1,2,0.2935,0.3687185929648241,0.32683741648106907
entropy,20,1,3,0.2665,0.32108433734939756,0.2912568306010929
entropy,20,1,4,0.256,0.3359580052493438,0.2905788876276958
entropy,20,1,5,0.251,0.2966903073286052,0.27193932827735645
entropy,20,2,1,0.391,0.36507936507936506,0.37759536455818443
entropy,20,2,2,0.2955,0.3738140417457306,0.33007539793353813
entropy,20,2,3,0.2675,0.32248342374924654,0.29242962558075974
entropy,20,2,4,0.257,0.33485342019543973,0.2908062234794908
entropy,20,2,5,0.245,0.2971497877501516,0.26856673061112635
entropy,20,3,1,0.3755,0.37891019172552975,0.377197388247112
entropy,20,3,2,0.298,0.3704164077066501,0.33028539761706843
entropy,20,3,3,0.2645,0.3200241984271022,0.2896249657815494
entropy,20,3,4,0.261,0.340953625081646,0.29566694987255737
entropy,20,3,5,0.2535,0.29841082989994117,0.27412814274128144
entropy,20,4,1,0.36,0.35590706870983685,0.3579418344519016
entropy,20,4,2,0.304,0.3781094527363184,0.3370288248337029
entropy,20,4,3,0.2735,0.32578916021441334,0.2973634139711878
entropy,20,4,4,0.251,0.33223031105228323,0.28595841640558245
entropy,20,4,5,0.249,0.2941523922031896,0.2696994313566206
entropy,20,5,1,0.347,0.3487437185929648,0.34786967418546366
entropy,20,5,2,0.284,0.35655994978028877,0.3161703311995547
entropy,20,5,3,0.2685,0.3238841978287093,0.29360306178239476
entropy,20,5,4,0.2495,0.3315614617940199,0.28473609129814553
entropy,20,5,5,0.249,0.29981938591210117,0.27205681507784757
entropy,50,1,1,0.3865,0.35803612783696154,0.37172397210867997
entropy,50,1,2,0.2905,0.36357947434292864,0.3229571984435798
entropy,50,1,3,0.2715,0.3310975609756098,0.29835164835164835
entropy,50,1,4,0.2595,0.3416721527320606,0.2949701619778346
entropy,50,1,5,0.2515,0.2994047619047619,0.2733695652173913
entropy,50,2,1,0.3885,0.35988883742473365,0.37364751142101466
entropy,50,2,2,0.2925,0.37308673469387754,0.327914798206278
entropy,50,2,3,0.27,0.32608695652173914,0.29540481400437635
entropy,50,2,4,0.2515,0.33421926910299005,0.287018544935806
entropy,50,2,5,0.249,0.2976688583383144,0.2711679825755513
entropy,50,3,1,0.373,0.38139059304703476,0.37714863498483314
entropy,50,3,2,0.3005,0.37751256281407036,0.3346325167037862
entropy,50,3,3,0.2685,0.3244712990936556,0.29384404924760604
entropy,50,3,4,0.2525,0.33114754098360655,0.2865248226950355
entropy,50,3,5,0.248,0.29897528631705844,0.2711123257720689
entropy,50,4,1,0.361,0.361,0.361
entropy,50,4,2,0.2975,0.3744493392070485,0.331568682084146
entropy,50,4,3,0.2735,0.32695756126718467,0.2978491696161176
entropy,50,4,4,0.2565,0.33376707872478856,0.2900763358778626
entropy,50,4,5,0.252,0.2998215348007139,0.27383863080684595
entropy,50,5,1,0.3505,0.34840954274353875,0.3494516450648056
entropy,50,5,2,0.284,0.35522201375859913,0.315643234231731
entropy,50,5,3,0.2715,0.32691149909692957,0.2966402622234362
entropy,50,5,4,0.2565,0.3392857142857143,0.29214123006833714
entropy,50,5,5,0.251,0.2984542211652794,0.27267789244975554
entropy,100,1,1,0.393,0.3623789764868603,0.37706884144878866
entropy,100,1,2,0.298,0.3701863354037267,0.3301939058171745
entropy,100,1,3,0.267,0.32521315468940315,0.2932454695222405
entropy,100,1,4,0.2505,0.33266932270916333,0.28579577866514544
entropy,100,1,5,0.2515,0.30192076830732295,0.2744135297326787
entropy,100,2,1,0.387,0.35651773376324275,0.3711340206185567
entropy,100,2,2,0.296,0.3706950532247965,0.32916319154851265
entropy,100,2,3,0.266,0.32301153612629024,0.29174664107485604
entropy,100,2,4,0.256,0.33355048859934855,0.28967468175388966
entropy,100,2,5,0.2455,0.29243597379392494,0.2669203587931503
entropy,100,3,1,0.375,0.3778337531486146,0.37641154328732745
entropy,100,3,2,0.2935,0.37034700315457414,0.3274755927475593
entropy,100,3,3,0.2715,0.32750301568154405,0.2968835429196282
entropy,100,3,4,0.2575,0.33748361730013104,0.29211571185479296
entropy,100,3,5,0.244,0.2923906530856801,0.26601253747615156
entropy,100,4,1,0.3635,0.3607940446650124,0.3621419676214197
entropy,100,4,2,0.297,0.37523689197725835,0.3315657270443762
entropy,100,4,3,0.2655,0.32162325863113267,0.2908792111750205
entropy,100,4,4,0.254,0.335978835978836,0.28929384965831434
entropy,100,4,5,0.245,0.29535864978902954,0.26783274118611644
entropy,100,5,1,0.3505,0.34892981582877053,0.3497131454227987
entropy,100,5,2,0.2865,0.3579013116801999,0.3182449319633435
entropy,100,5,3,0.271,0.3280871670702179,0.2968236582694414
entropy,100,5,4,0.2535,0.3335526315789474,0.28806818181818183
entropy,100,5,5,0.2525,0.29917061611374407,0.2738611713665944
